기간	자치구	성별	합계	한국계 중국인	중국(한국계 중국인 제외)	미국	타이완	일본	베트남	몽골	필리핀	캐나다	인도	우즈베키스탄	영국	프랑스	타이	러시아	독일	오스트레일리아	네팔	파키스탄	인도네시아	나이지리아	말레이시아	방글라데시	캄 보 디 아	사우디아라비아	홍       콩	뉴질랜드	카자흐스탄	스 리 랑 카	남아프리카 공화국	미  얀  마	싱 가 포 르	이       란	브  라  질	아 일 랜 드	스  웨  덴	이 탈 리 아	터       키	네 덜 란 드	키르기스스탄	멕  시  코	스  페  인	우크라이나	스  위  스	핀  란  드	가       나	벨  기  에	폴  란  드	이  집  트	오스트리아	수       단	아르헨티나	오       만	이 스 라 엘	페       루	덴  마  크	모  로  코	이  라  크	기       타
2018.1/4	합계	계	273,178	119,558	65,640	9,545	8,808	8,175	13,502	5,988	3,543	1,627	2,026	2,367	1,477	2,382	1,532	1,751	1,502	718	1,088	1,228	1,213	724	1,179	655	1,142	652	1,222	220	840	318	335	873	455	441	312	214	269	457	451	367	318	279	364	314	171	152	195	187	150	834	126	101	50	36	96	104	122	252	99	4,432
2018.1/4	합계	남자	130,974	66,306	23,854	5,256	4,016	2,579	4,585	2,384	952	1,025	1,349	1,268	976	1,275	437	579	800	452	732	911	479	574	591	474	631	395	244	168	291	245	192	639	163	240	158	155	141	260	224	206	98	133	202	132	106	58	149	104	43	746	70	65	25	21	43	40	62	143	61	2,467
2018.1/4	합계	여자	142,204	53,252	41,786	4,289	4,792	5,596	8,917	3,604	2,591	602	677	1,099	501	1,107	1,095	1,172	702	266	356	317	734	150	588	181	511	257	978	52	549	73	143	234	292	201	154	59	128	197	227	161	220	146	162	182	65	94	46	83	107	88	56	36	25	15	53	64	60	109	38	1,965
2018.1/4	종로구	계	9,799	1,857	3,759	333	269	281	1,147	95	100	35	57	53	72	156	33	55	80	94	404	31	47	6	28	9	28	23	46	4	27	9	5	31	42	18	40	6	9	23	11	24	11	11	20	5	13	16	2	11	4	10	20	8	3	27	29	1	10	8	-	243
2018.1/4	종로구	남자	4,213	897	1,257	205	104	120	513	38	30	23	41	26	51	85	14	19	28	52	276	22	10	4	12	6	20	9	9	4	10	6	1	19	16	12	22	5	3	14	4	9	4	6	11	3	8	6	1	6	1	6	8	4	1	16	14	-	4	3	-	115
2018.1/4	종로구	여자	5,586	960	2,502	128	165	161	634	57	70	12	16	27	21	71	19	36	52	42	128	9	37	2	16	3	8	14	37	-	17	3	4	12	26	6	18	1	6	9	7	15	7	5	9	2	5	10	1	5	3	4	12	4	2	11	15	1	6	5	-	128
2018.1/4	중구	계	9,057	2,075	2,590	263	598	245	612	303	88	51	130	512	56	57	27	310	89	21	22	59	55	2	28	10	21	25	37	14	110	21	4	16	37	13	10	3	10	30	15	18	34	13	18	33	7	5	10	9	4	12	6	-	3	1	10	4	6	4	-	291
2018.1/4	중구	남자	4,206	1,059	1,031	169	297	118	217	113	26	30	78	219	33	32	3	161	49	13	12	44	32	1	14	3	13	12	11	10	49	14	2	8	12	8	8	3	5	19	5	12	14	5	11	17	5	1	9	7	-	9	3	-	1	1	4	1	5	2	-	166
2018.1/4	중구	여자	4,851	1,016	1,559	94	301	127	395	190	62	21	52	293	23	25	24	149	40	8	10	15	23	1	14	7	8	13	26	4	61	7	2	8	25	5	2	-	5	11	10	6	20	8	7	16	2	4	1	2	4	3	3	-	2	-	6	3	1	2	-	125
2018.1/4	용산구	계	15,502	1,353	775	2,645	355	1,401	266	172	639	238	395	128	334	314	218	235	451	151	32	302	94	627	332	123	69	183	37	47	90	31	130	46	54	64	51	37	60	103	89	47	62	32	86	56	35	8	97	44	15	554	26	78	9	-	24	26	30	101	59	1,442
2018.1/4	용산구	남자	8,723	672	277	1,514	168	730	74	69	149	159	270	58	216	190	92	69	254	98	20	221	22	502	245	82	26	104	19	36	37	14	80	20	16	40	24	23	38	65	59	27	18	13	41	26	18	6	74	21	4	536	17	52	5	-	9	12	16	71	37	968
2018.1/4	용산구	여자	6,779	681	498	1,131	187	671	192	103	490	79	125	70	118	124	126	166	197	53	12	81	72	125	87	41	43	79	18	11	53	17	50	26	38	24	27	14	22	38	30	20	44	19	45	30	17	2	23	23	11	18	9	26	4	-	15	14	14	30	22	474
2018.1/4	성동구	계	8,019	2,573	2,436	257	169	155	618	280	190	46	82	66	36	57	53	33	97	17	47	143	75	3	67	42	34	14	16	4	11	24	8	27	9	15	8	4	11	15	17	27	10	16	16	5	8	4	20	5	8	4	2	1	1	1	1	1	6	11	1	112
2018.1/4	성동구	남자	3,735	1,287	905	148	74	34	231	118	102	35	53	48	24	24	20	14	70	10	42	98	56	2	39	38	19	8	6	4	3	24	4	22	5	10	5	3	6	8	6	11	1	9	9	-	5	1	17	3	3	2	2	1	-	-	-	-	4	5	1	56
2018.1/4	성동구	여자	4,284	1,286	1,531	109	95	121	387	162	88	11	29	18	12	33	33	19	27	7	5	45	19	1	28	4	15	6	10	-	8	-	4	5	4	5	3	1	5	7	11	16	9	7	7	5	3	3	3	2	5	2	-	-	1	1	1	1	2	6	-	56
2018.1/4	광진구	계	14,522	6,262	4,786	145	126	277	746	624	104	49	147	277	29	34	41	54	32	11	56	125	48	1	64	39	21	3	25	2	77	12	4	20	10	31	5	3	7	7	9	18	12	12	9	6	4	10	7	2	2	10	5	-	3	-	1	-	1	5	-	102
2018.1/4	광진구	남자	6,260	3,126	1,594	87	47	49	243	277	25	27	99	223	21	15	8	13	9	7	32	100	20	1	25	28	4	1	1	2	23	11	1	7	4	17	-	2	4	4	1	10	3	5	2	3	3	3	5	-	1	8	4	-	-	-	1	-	1	2	-	51
2018.1/4	광진구	여자	8,262	3,136	3,192	58	79	228	503	347	79	22	48	54	8	19	33	41	23	4	24	25	28	-	39	11	17	2	24	-	54	1	3	13	6	14	5	1	3	3	8	8	9	7	7	3	1	7	2	2	1	2	1	-	3	-	-	-	-	3	-	51
2018.1/4	동대문구	계	15,654	2,829	6,707	231	363	409	1,610	766	231	52	85	243	43	111	58	117	73	19	67	28	74	7	91	65	63	54	189	3	62	19	9	44	24	53	20	10	49	21	34	17	32	40	33	19	9	16	6	9	33	30	3	4	3	-	2	6	8	11	27	413
2018.1/4	동대문구	남자	5,905	1,400	2,048	109	120	62	720	290	76	32	55	159	29	37	9	33	28	13	40	27	20	6	22	43	22	44	24	2	18	15	6	19	6	18	5	6	12	5	7	10	10	11	15	6	6	2	5	3	4	16	1	2	2	-	-	1	5	2	16	201
2018.1/4	동대문구	여자	9,749	1,429	4,659	122	243	347	890	476	155	20	30	84	14	74	49	84	45	6	27	1	54	1	69	22	41	10	165	1	44	4	3	25	18	35	15	4	37	16	27	7	22	29	18	13	3	14	1	6	29	14	2	2	1	-	2	5	3	9	11	212
2018.1/4	중랑구	계	4,684	1,788	648	60	82	141	581	886	109	24	7	67	18	5	47	25	4	5	18	9	6	2	3	28	21	8	11	-	4	2	6	5	1	6	4	3	3	2	4	-	9	4	1	-	4	-	-	1	1	2	-	-	-	-	-	2	1	2	-	14
2018.1/4	중랑구	남자	1,885	850	197	37	36	20	162	392	19	18	5	17	10	2	-	5	3	4	12	9	1	2	2	25	1	3	1	-	1	2	4	3	1	6	1	3	3	2	3	-	5	2	1	-	3	-	-	-	-	1	-	-	-	-	-	2	-	2	-	7
2018.1/4	중랑구	여자	2,799	938	451	23	46	121	419	494	90	6	2	50	8	3	47	20	1	1	6	-	5	-	1	3	20	5	10	-	3	-	2	2	-	-	3	-	-	-	1	-	4	2	-	-	1	-	-	1	1	1	-	-	-	-	-	-	1	-	-	7
2018.1/4	성북구	계	11,676	1,132	4,956	397	331	375	1,034	875	261	60	167	177	78	61	62	126	91	35	72	97	101	18	85	92	28	76	70	11	119	14	17	15	36	20	8	17	16	16	22	24	12	29	6	17	12	12	12	3	8	25	9	2	1	3	1	9	16	10	8	289
2018.1/4	성북구	남자	4,603	538	1,689	185	138	60	383	339	68	39	111	122	42	35	11	35	47	16	48	68	41	14	35	57	7	57	15	9	30	8	10	4	10	16	4	12	9	10	7	15	2	12	4	12	10	8	9	2	1	14	4	1	-	3	1	2	7	3	5	159
2018.1/4	성북구	여자	7,073	594	3,267	212	193	315	651	536	193	21	56	55	36	26	51	91	44	19	24	29	60	4	50	35	21	19	55	2	89	6	7	11	26	4	4	5	7	6	15	9	10	17	2	5	2	4	3	1	7	11	5	1	1	-	-	7	9	7	3	130
