기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2022.1/4	합계	합계	계	225,839	4,404	5,952	4,360	4,549	32,419	30,820	23,665	21,629	17,263	14,704	19,820	23,163	13,618	5,669	2,195	725	450	258	101	48	27
2022.1/4	합계	합계	남자	102,794	2,294	3,002	2,220	1,977	10,216	11,386	10,690	11,043	9,027	7,722	10,146	11,395	6,692	2,933	1,240	396	226	117	46	18	8
2022.1/4	합계	합계	여자	123,045	2,110	2,950	2,140	2,572	22,203	19,434	12,975	10,586	8,236	6,982	9,674	11,768	6,926	2,736	955	329	224	141	55	30	19
2022.1/4	종로구	소계	계	9,409	121	190	198	194	2,841	1,695	818	713	633	489	482	481	314	132	68	15	13	8	4	-	-
2022.1/4	종로구	소계	남자	4,107	62	91	95	71	905	715	400	374	361	251	256	245	147	74	37	10	7	5	1	-	-
2022.1/4	종로구	소계	여자	5,302	59	99	103	123	1,936	980	418	339	272	238	226	236	167	58	31	5	6	3	3	-	-
2022.1/4	종로구	사직동	계	260	4	6	5	2	13	11	27	38	44	40	22	20	10	11	4	-	2	1	-	-	-
2022.1/4	종로구	사직동	남자	146	1	5	2	1	4	3	13	25	27	22	15	11	5	9	1	-	1	1	-	-	-
2022.1/4	종로구	사직동	여자	114	3	1	3	1	9	8	14	13	17	18	7	9	5	2	3	-	1	-	-	-	-
2022.1/4	종로구	삼청동	계	300	9	21	32	18	7	5	9	35	46	34	13	16	26	14	11	2	1	1	-	-	-
2022.1/4	종로구	삼청동	남자	144	5	12	11	7	4	-	4	14	27	16	9	6	10	9	7	2	-	1	-	-	-
2022.1/4	종로구	삼청동	여자	156	4	9	21	11	3	5	5	21	19	18	4	10	16	5	4	-	1	-	-	-	-
2022.1/4	종로구	부암동	계	214	-	-	-	2	44	44	41	35	19	3	9	9	3	3	2	-	-	-	-	-	-
2022.1/4	종로구	부암동	남자	124	-	-	-	2	14	30	22	26	12	1	5	6	3	2	1	-	-	-	-	-	-
2022.1/4	종로구	부암동	여자	90	-	-	-	-	30	14	19	9	7	2	4	3	-	1	1	-	-	-	-	-	-
2022.1/4	종로구	평창동	계	185	3	2	2	5	5	4	20	22	24	21	23	17	16	10	6	2	1	2	-	-	-
2022.1/4	종로구	평창동	남자	91	1	1	2	2	2	-	11	10	14	8	12	8	6	7	4	1	1	1	-	-	-
2022.1/4	종로구	평창동	여자	94	2	1	-	3	3	4	9	12	10	13	11	9	10	3	2	1	-	1	-	-	-
2022.1/4	종로구	무악동	계	35	-	1	2	-	3	1	6	4	5	6	4	2	1	-	-	-	-	-	-	-	-
2022.1/4	종로구	무악동	남자	14	-	1	1	-	-	1	3	-	3	3	2	-	-	-	-	-	-	-	-	-	-
2022.1/4	종로구	무악동	여자	21	-	-	1	-	3	-	3	4	2	3	2	2	1	-	-	-	-	-	-	-	-
2022.1/4	종로구	교남동	계	159	2	9	8	7	5	9	14	28	22	19	10	7	13	1	3	-	1	-	1	-	-
